Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,R,ER,TBF,SIERA,RS/9
1988,Twins,23,18,52,265,0,416.2,6.48,3.61,1.08,0.27,76.40%, , ,3.91,4.16, ,187,181,1785, , 
2011,Rockies,20,21,41,517,0,508.2,8.02,2.64,1.15,0.3,73.40%,41.60%,11.20%,3.91,3.85,3.62,243,221,2133,3.23,3.91
1977,Cubs,27,23,44,319,0,508.1,6.73,3.17,0.78,0.285,67.40%, , ,3.91,3.46, ,259,221,2145, , 
1984,Twins,21,22,38,249,0,381.2,4.9,4.32,0.85,0.266,75.10%, , ,3.91,4.44, ,176,166,1655, , 
2009,Yankees,40,17,51,461,0,515,8.44,3.46,1.26,0.266,75.20%,39.30%,12.00%,3.91,4.33,4.04,241,224,2177,3.57,5.43
2009,Phillies,27,23,44,459,0,492,7.63,4.08,0.84,0.288,74.10%,42.60%,8.60%,3.91,4.17,4.39,232,214,2143,4.02,4.13
2004,Red Sox,25,17,36,437,0,443.2,6.82,3.27,0.93,0.279,72.40%,44.50%,9.40%,3.92,4.14,4.36,214,193,1907,4.02,4.58
1976,Braves,16,25,27,264,0,395.1,4.99,3.76,0.52,0.288,68.50%, , ,3.92,3.62, ,205,172,1743, , 
2011,Dodgers,17,18,40,461,0,439,8.59,3.96,0.7,0.293,71.00%,45.00%,8.00%,3.92,3.54,3.75,207,191,1878,3.46,3.12
1987,Astros,23,21,33,316,0,432,6.52,3.6,0.83,0.289,72.20%, , ,3.92,3.89, ,208,188,1852, , 
1984,Orioles,17,21,32,208,0,367.1,5.49,4.21,0.93,0.278,73.10%, , ,3.92,4.32, ,183,160,1596, , 
2005,Mets,24,20,38,392,0,413,7.19,3.73,0.76,0.306,74.20%,46.30%,8.70%,3.92,3.94,4.18,196,180,1831,3.88,3.64
1995,Reds,25,18,38,329,0,452,6.99,3.74,0.84,0.282,73.20%, , ,3.92,4.09, ,210,197,1939, , 
1977,Padres,32,27,44,382,0,596,5.41,4.03,0.83,0.286,72.90%, , ,3.93,4.15, ,294,260,2591, , 
2011,Tigers,23,20,52,421,0,449,7.98,4.37,0.78,0.292,73.40%,42.70%,8.00%,3.93,3.98,4.21,212,196,1936,3.84,3.87
1988,Phillies,18,27,36,336,0,446.2,5.66,4.61,0.64,0.282,72.30%, , ,3.93,4.07, ,219,195,1968, , 
1984,Reds,24,24,25,327,0,503.2,5.75,3.65,0.71,0.287,71.20%, , ,3.93,3.76, ,244,220,2176, , 
1980,Cardinals,21,28,27,297,0,416.2,4.28,4.15,0.5,0.284,69.40%, , ,3.93,3.97, ,212,182,1816, , 
1995,Braves,28,16,34,339,0,361.2,8.29,3.76,0.92,0.317,73.80%, , ,3.93,3.93, ,178,158,1588, , 
2001,Cubs,22,25,41,452,0,464.2,9.82,4.05,1.08,0.306,76.40%, , ,3.93,3.87, ,215,203,2018, , 
1990,Royals,24,21,33,312,0,476,7.26,3.76,0.78,0.297,72.30%, , ,3.93,3.71, ,232,208,2079, , 
1999,Red Sox,30,20,50,412,0,542.1,6.85,3.57,0.98,0.271,72.00%, , ,3.93,4.34, ,265,237,2316, , 
1978,Reds,37,15,46,299,0,466.2,5.44,3.49,0.64,0.285,69.90%, , ,3.93,3.52, ,229,204,2015, , 
2001,Cardinals,18,21,38,484,0,466.2,6.63,3.78,1.31,0.265,77.80%, , ,3.93,4.89, ,218,204,1989, , 
1985,Pirates,15,32,29,297,0,462,6.62,3.9,0.66,0.288,71.30%, , ,3.94,3.55, ,221,202,1993, , 
1976,Cubs,26,22,33,329,0,478,5.82,3.33,0.88,0.283,71.60%, , ,3.94,3.78, ,233,209,2031, , 
1982,Phillies,26,20,33,287,0,386.1,5.4,3.17,0.54,0.294,70.60%, , ,3.94,3.42, ,182,169,1665, , 
2012,Phillies,22,27,42,440,0,418.1,10.05,3.83,1.01,0.291,70.80%,40.50%,11.10%,3.94,3.74,3.77,210,183,1793,3.31,3.57
1987,Dodgers,16,21,32,280,0,379.1,6.95,3.75,0.76,0.298,72.00%, , ,3.94,3.72, ,183,166,1637, , 
1990,Brewers,19,31,42,340,0,486.2,5.34,3.53,0.74,0.286,69.70%, , ,3.94,3.95, ,252,213,2130, , 
1998,Brewers,29,24,39,415,0,516.1,7.88,3.42,1.06,0.297,74.70%, , ,3.94,4.2, ,245,226,2199, , 
1986,Dodgers,17,28,25,280,0,402,6.78,4.28,0.94,0.306,75.50%, , ,3.94,4.09, ,196,176,1782, , 
1987,Tigers,24,18,31,247,0,383.1,5.92,3.99,0.96,0.291,73.50%, , ,3.94,4.33, ,194,168,1685, , 
2007,Diamondbacks,30,19,51,469,0,483,7.55,3.67,0.95,0.285,71.40%,40.00%,8.60%,3.95,4.32,4.48,243,212,2075,4.03,3.89
2009,Rangers,19,19,45,436,0,485,7.76,3.6,0.91,0.287,73.20%,41.70%,8.80%,3.95,4.05,4.25,229,213,2072,3.82,3.8
2010,Tigers,28,22,32,416,0,468.2,6.3,3.82,0.71,0.294,72.80%,45.70%,7.00%,3.96,4.15,4.51,224,206,2027,4.19,4.51
1981,Athletics,12,7,10,112,0,168.1,6.1,5.13,0.75,0.273,74.60%, , ,3.96,4.18, ,80,74,742, , 
2002,Phillies,30,28,47,450,0,500.1,6.78,3.98,0.76,0.285,72.80%,48.80%,9.50%,3.96,4.01,4.14,237,220,2159,3.94,3.74
1992,Angels,25,22,42,297,0,388.2,5.23,3.59,0.9,0.281,73.70%, , ,3.96,4.24, ,188,171,1689, , 
1996,Reds,26,23,52,425,0,520.1,7.45,4.34,1,0.294,75.50%, , ,3.96,4.52, ,252,229,2291, , 
1974,Pirates,18,18,17,229,0,333.2,4.48,4.56,0.46,0.28,70.60%, , ,3.97,3.87, ,167,147,1482, , 
2010,Reds,34,27,43,502,0,488,7.84,3.74,0.85,0.291,74.00%,44.40%,8.50%,3.97,3.9,4.02,222,215,2089,3.69,3.91
1997,Marlins,28,21,39,404,0,458.1,7.6,4.24,0.84,0.302,73.70%, , ,3.97,4.2, ,225,202,2012, , 
2004,Twins,33,24,48,435,0,487.2,8.4,3.73,0.81,0.299,73.00%,43.50%,8.40%,3.97,3.73,4.08,228,215,2095,3.72,4.24
2012,Angels,19,20,38,444,0,449,7.72,3.37,1.06,0.281,73.70%,43.80%,11.10%,3.97,4.1,4.13,211,198,1911,3.8,3.45
2009,Brewers,25,23,44,512,0,544,7.38,3.74,1.03,0.276,75.50%,39.70%,9.20%,3.97,4.33,4.47,250,240,2345,4.02,4.22
2002,Brewers,16,22,32,446,0,505.1,7.03,4.22,1.09,0.261,75.10%,39.50%,10.60%,3.97,4.51,4.52,239,223,2173,4.15,3.69
1994,Padres,15,18,27,273,0,339.2,7.15,4.48,0.66,0.287,70.20%, , ,3.97,4.04, ,171,150,1489, , 
2009,Rays,26,23,41,510,0,457.1,7.1,3.48,1.18,0.276,74.30%,43.30%,11.20%,3.98,4.48,4.32,223,202,1965,3.97,4.53
2013,Mets,26,31,40,535,0,507,6.96,3.16,0.96,0.287,71.40%,44.50%,10.30%,3.98,4.02,4.05,250,224,2166,3.8,3.51
2003,Braves,27,22,51,489,0,473,7.76,3.81,0.95,0.296,72.50%,47.80%,12.00%,3.98,4.04,3.94,235,209,2038,3.72,5.1
2006,Astros,22,24,42,497,0,509,7.92,3.27,1.13,0.277,75.30%,44.10%,11.60%,3.98,4.26,4.15,232,225,2140,3.76,3.73
2006,Pirates,23,25,39,505,0,506.2,7.66,3.91,0.83,0.307,72.90%,44.30%,8.90%,3.98,4.13,4.39,254,224,2235,4.09,3.8
1988,Orioles,17,18,26,287,0,472.2,4.72,4.19,0.8,0.289,74.00%, , ,3.98,4.33, ,230,209,2062, , 
2006,Blue Jays,26,13,42,482,0,529,7.67,3.61,0.97,0.288,72.60%,45.90%,10.80%,3.98,4.15,4.16,257,234,2264,3.91,4.36
2012,Indians,20,18,43,494,0,528.1,7.92,3.27,0.9,0.282,71.90%,43.10%,9.50%,3.99,3.83,4.07,246,234,2228,3.7,3.76
1997,Reds,16,20,49,423,0,534.2,8.45,3.55,0.98,0.291,73.30%, , ,3.99,4.05, ,259,237,2318, , 
2010,Rockies,25,27,35,513,0,487,8.41,2.99,1.03,0.299,72.80%,39.90%,9.90%,3.99,3.82,3.75,233,216,2065,3.31,4.32
1987,Padres,24,26,33,335,0,505,6.61,3.9,0.94,0.284,71.60%, , ,3.99,4.14, ,258,224,2190, , 
2008,Red Sox,24,20,47,466,0,479.2,7.84,3.77,0.83,0.291,71.40%,47.80%,9.10%,4,3.94,4.07,234,213,2063,3.77,4.18
1978,Cubs,37,22,38,327,0,466,6.43,4.09,0.91,0.288,73.20%, , ,4,3.88, ,231,207,2044, , 
1990,Phillies,26,25,35,374,0,506.1,5.62,4.3,0.75,0.27,71.00%, , ,4,4.15, ,252,225,2196, , 
1993,Phillies,28,23,46,350,0,432,7.67,4.73,0.85,0.28,71.70%, , ,4,4.21, ,221,192,1905, , 
2004,Expos,27,29,31,462,0,544.1,6.71,3.7,1.09,0.288,75.20%,46.70%,11.30%,4,4.57,4.52,268,242,2379,4.18,3.59
2013,White Sox,19,36,40,470,0,472.1,8.08,3.98,0.72,0.305,70.30%,45.60%,8.20%,4,3.73,4.02,238,210,2038,3.73,3.3
1999,Pirates,21,20,34,425,0,467.2,8.26,5,0.92,0.295,74.40%, , ,4,4.47, ,234,208,2067, , 
2004,Athletics,27,26,35,414,0,440.2,7.13,3.57,1.12,0.28,74.90%,45.40%,11.30%,4,4.44,4.39,213,196,1902,4.03,3.9
1987,Royals,19,13,26,225,0,339.1,6.26,3.98,0.8,0.292,72.20%, , ,4,4.04, ,169,151,1479, , 
1979,Red Sox,23,15,29,198,0,381.2,5.47,2.95,0.73,0.298,71.30%, , ,4.01,3.68, ,186,170,1640, , 
2010,Marlins,17,25,39,481,0,500.1,7.86,4.34,0.83,0.289,72.20%,44.90%,8.30%,4.01,4.08,4.23,247,223,2176,3.9,3.71
2013,Tigers,17,25,39,428,0,439.2,9.15,3.66,0.9,0.303,73.20%,44.00%,9.90%,4.01,3.61,3.69,206,196,1889,3.34,3.03
1998,Expos,23,28,39,443,0,520.1,7.23,3.87,0.71,0.291,69.30%, , ,4.01,3.96, ,268,232,2279, , 
2000,Reds,23,23,42,387,0,502.1,7.47,4.5,0.95,0.287,73.10%, , ,4.01,4.46, ,253,224,2186, , 
2001,Mets,28,23,48,397,0,464,8.01,3.49,1.24,0.285,75.10%, , ,4.02,4.3, ,225,207,1993, , 
2010,Phillies,27,17,40,451,0,421,8.14,3.78,0.79,0.309,74.00%,48.50%,8.60%,4.02,3.87,3.98,198,188,1828,3.57,4.21
1986,Yankees,27,17,58,289,0,501.1,6.28,3.5,0.93,0.279,71.50%, , ,4.02,3.93, ,246,224,2138, , 
1991,Cardinals,30,21,51,369,0,434,5.5,3.19,0.66,0.286,70.50%, , ,4.02,3.76, ,207,194,1840, , 
2010,Angels,18,19,39,410,0,436,7.6,4.81,0.66,0.302,73.30%,46.90%,7.10%,4.03,4.06,4.37,213,195,1946,4.12,2.97
1992,Yankees,22,20,44,308,0,420.1,5.44,3.85,0.73,0.281,72.40%, , ,4.03,3.97, ,200,188,1820, , 
1999,Angels,28,24,37,400,0,496.1,5.49,3.63,1,0.273,72.00%, , ,4.03,4.65, ,249,222,2115, , 
2003,Reds,36,21,38,475,0,563.1,7.06,3.96,1.12,0.276,74.90%,42.80%,11.90%,4.03,4.48,4.39,273,252,2450,4.12,4.11
2007,Mets,22,21,39,499,0,511.2,7.35,3.47,0.84,0.292,72.10%,46.10%,8.90%,4.03,4.15,4.25,250,229,2230,3.94,4.54
2005,Giants,30,26,46,511,0,504.1,5.94,3.73,0.75,0.289,71.70%,44.60%,7.80%,4.03,4.12,4.52,247,226,2180,4.3,3.68
1974,White Sox,16,19,29,201,0,437.1,5.7,4.28,0.51,0.292,70.40%, , ,4.03,3.67, ,221,196,1919, , 
2006,Cubs,18,27,29,542,0,562,8.86,4.08,1.19,0.292,74.70%,42.70%,12.20%,4.04,4.38,4.18,282,252,2467,3.81,4.12
2006,Mariners,27,19,47,429,0,488.1,7.83,4.18,0.94,0.287,74.40%,38.80%,8.60%,4.04,4.25,4.6,230,219,2109,4.19,4.88
1975,Brewers,17,18,34,223,0,483.2,4.37,4.22,0.73,0.277,72.30%, , ,4.04,4.23, ,243,217,2129, , 
1987,Rangers,29,24,27,328,0,497,6.61,4.35,1.07,0.281,74.90%, , ,4.04,4.53, ,246,223,2150, , 
1998,Rangers,20,17,46,402,0,465.2,6.11,3.09,1.01,0.299,72.60%, , ,4.04,4.32, ,234,209,2013, , 
1981,Reds,24,8,20,182,0,271.2,4.54,3.78,0.8,0.276,71.90%, , ,4.04,4.01, ,131,122,1150, , 
2013,Cubs,21,31,39,489,0,474,7.94,3.99,1.01,0.281,74.40%,38.30%,9.80%,4.04,4.23,4.33,226,213,2049,3.88,3.06
1984,Mariners,22,17,35,292,0,445,6.39,3.86,0.99,0.292,72.80%, , ,4.04,4.19, ,229,200,1948, , 
1974,Cubs,23,28,26,347,0,511.2,5.35,3.83,0.74,0.284,71.00%, , ,4.05,3.83, ,259,230,2242, , 
1995,Mariners,24,22,39,324,0,462.2,8.4,4.28,1.03,0.298,74.80%, , ,4.05,4.31, ,229,208,2046, , 
2007,Marlins,29,28,40,560,0,586.2,8.07,4.08,0.87,0.305,73.10%,38.00%,7.70%,4.05,4.21,4.54,291,264,2562,4.05,4.16
2000,Braves,19,18,53,376,0,400,8.51,4.97,1.22,0.273,74.30%, , ,4.05,4.75, ,207,180,1763, , 
1993,Brewers,19,23,29,353,0,411,5.61,3.79,0.68,0.289,69.90%, , ,4.05,4.13, ,212,185,1794, , 
1983,Twins,21,22,39,268,0,470.2,5.37,3.59,0.84,0.287,71.50%, , ,4.05,4.04, ,237,212,2036, , 
2008,Marlins,31,25,36,511,0,519.1,7.56,4.33,0.87,0.281,73.10%,39.20%,8.30%,4.06,4.28,4.56,253,234,2277,4.18,4.51
1992,Mets,23,31,34,333,0,415,5.05,3.36,0.67,0.296,70.40%, , ,4.06,3.84, ,209,187,1798, , 
1983,Blue Jays,25,16,32,257,0,406,5.43,4.21,0.84,0.276,73.80%, , ,4.06,4.27, ,195,183,1761, , 
2000,Giants,26,20,47,384,0,430.1,8.6,3.89,0.88,0.304,72.10%, , ,4.06,3.91, ,213,194,1860, , 
2006,Cardinals,22,24,38,469,0,488,7.05,3.52,1.03,0.281,74.60%,45.30%,10.60%,4.06,4.41,4.44,231,220,2101,4.12,3.71
2007,Mariners,29,12,43,456,0,505.2,7.51,4.13,0.62,0.304,72.10%,43.60%,6.30%,4.06,4,4.49,243,228,2196,4.16,4.34
1997,Mets,27,26,49,376,0,465.2,6.98,3.61,1.04,0.294,73.00%, , ,4.06,4.38, ,235,210,2006, , 
2001,Giants,24,20,47,439,0,476.1,8.5,3.29,0.98,0.294,70.90%, , ,4.06,3.76, ,236,215,2029, , 
2009,White Sox,22,22,36,415,0,469.2,8.34,3.64,0.94,0.318,74.30%,43.50%,9.40%,4.06,3.92,4.03,229,212,2065,3.66,3.58
1993,Rangers,23,17,45,359,0,469.2,6.4,3.53,1,0.299,74.60%, , ,4.06,4.25, ,227,212,2026, , 
1993,Royals,25,23,48,303,0,405.1,6.73,3.71,0.53,0.304,71.50%, , ,4.06,3.61, ,190,183,1744, , 
1980,Red Sox,24,17,43,238,0,491.2,4.1,3.09,0.77,0.286,69.70%, , ,4.06,4.07, ,252,222,2094, , 
1990,Cubs,26,20,42,346,0,509.1,6.36,4.06,0.74,0.299,71.90%, , ,4.06,3.89, ,256,230,2243, , 
2012,Marlins,21,20,38,483,0,458.1,7.83,3.69,0.73,0.316,69.80%,45.70%,8.40%,4.06,3.79,4.14,242,207,2015,3.85,3.26
2004,Cubs,28,22,42,460,0,458.1,8.42,4.24,1.02,0.286,74.30%,40.20%,10.20%,4.06,4.15,4.26,221,207,1999,3.93,3.99
2001,Blue Jays,29,28,41,471,0,500.1,7.27,3.49,0.9,0.295,73.90%, , ,4.07,4.09, ,236,226,2136, , 
1977,Reds,22,15,32,261,0,442.2,4.23,3.07,0.81,0.29,72.40%, , ,4.07,4.08, ,217,200,1912, , 
2007,Cardinals,30,12,34,516,0,546.2,6.8,3.1,0.87,0.285,69.50%,41.10%,8.00%,4.07,4.19,4.45,279,247,2348,4.07,4.64
2010,Dodgers,25,18,41,475,0,489,7.97,3.9,0.75,0.289,72.10%,45.10%,7.90%,4.07,3.8,4.02,230,221,2106,3.7,3.53
2003,Yankees,18,19,49,367,0,396,6.84,3.25,0.84,0.302,71.50%,38.10%,7.70%,4.07,3.94,4.49,200,179,1735,4.04,3.45
1974,Angels,13,15,12,190,0,294,4.74,3.95,0.64,0.296,70.50%, , ,4.07,3.87, ,153,133,1292, , 
1986,Orioles,19,20,39,262,0,444,5.94,3.71,0.83,0.291,71.70%, , ,4.07,3.92, ,219,201,1894, , 
2003,Devil Rays,26,29,30,372,0,545.1,6.09,3.68,1.09,0.273,73.90%,40.70%,10.50%,4.08,4.68,4.8,271,247,2342,4.37,4.27
1983,Red Sox,20,21,42,201,0,408.1,5.69,3.46,0.75,0.301,70.60%, , ,4.08,3.8, ,209,185,1773, , 
2009,Blue Jays,17,30,25,445,0,487,7.52,3.62,0.98,0.293,73.20%,47.10%,10.80%,4.08,4.21,4.12,239,221,2095,3.81,3.71
2008,Diamondbacks,17,28,39,444,0,456,7.5,3.24,0.97,0.293,70.80%,42.30%,9.60%,4.09,4.09,4.16,232,207,1962,3.78,3.89
1994,Royals,18,14,38,247,0,299.1,6.19,3.43,0.9,0.294,71.30%, , ,4.09,4.37, ,155,136,1300, , 
2010,Blue Jays,22,26,45,455,0,482,7.49,3.62,0.95,0.291,73.00%,45.30%,9.50%,4.09,4.15,4.13,236,219,2082,3.75,3.68
1984,Blue Jays,22,28,33,256,0,369.2,5.06,4.07,1,0.288,72.20%, , ,4.09,4.49, ,199,168,1646, , 
2008,Astros,26,23,48,488,0,517,7.45,3.38,1.22,0.274,74.30%,42.90%,11.70%,4.09,4.47,4.24,250,235,2197,3.83,3.52
2005,Pirates,19,30,35,451,0,516.2,6.15,3.92,0.73,0.289,71.50%,46.30%,7.90%,4.09,4.17,4.53,258,235,2256,4.27,3.99
1996,Yankees,25,21,52,411,0,518.1,8.8,3.85,0.76,0.309,72.50%, , ,4.1,3.71, ,247,236,2254, , 
2004,Astros,27,24,47,493,0,522.2,8.95,3.38,1.27,0.301,75.60%,44.10%,13.70%,4.1,4.2,3.84,257,238,2257,3.43,4.39
2005,Orioles,17,27,38,474,0,511.1,7.23,3.71,1.13,0.283,72.80%,47.50%,12.60%,4.1,4.37,4.11,260,233,2210,3.83,4.21
1994,White Sox,14,15,20,239,0,267.2,7.83,4.3,0.98,0.27,71.10%, , ,4.1,4.32, ,136,122,1162, , 
1987,Athletics,27,23,40,328,0,506.2,7.23,3.27,0.89,0.297,71.10%, , ,4.1,3.7, ,252,231,2181, , 
1980,Rangers,25,22,25,255,0,438.2,6.57,4.35,0.64,0.303,70.70%, , ,4.1,3.76, ,228,200,1946, , 
2008,Cubs,28,24,44,478,0,495.2,8.68,3.38,1.07,0.298,72.00%,39.50%,10.00%,4.1,4.04,4.06,252,226,2147,3.51,4.5
2009,Cubs,21,24,40,480,0,484.1,8.05,4.76,0.97,0.273,75.50%,44.10%,9.90%,4.11,4.45,4.48,227,221,2111,4.13,3.49
2011,Rangers,22,26,38,417,0,447,7.67,3.12,1.33,0.267,72.20%,41.60%,13.20%,4.11,4.38,3.86,226,204,1881,3.49,4.07
2001,Marlins,19,27,32,430,0,454.2,6.93,3.78,1.01,0.3,73.80%, , ,4.12,4.33, ,228,208,1975, , 
2006,Dodgers,24,25,40,454,0,537.2,8.12,3.46,1,0.298,71.70%,43.40%,9.90%,4.12,4.04,4.17,271,246,2316,3.81,3.88
2007,Giants,20,33,37,496,0,485,6.59,3.58,0.8,0.3,74.10%,42.30%,7.30%,4.12,4.23,4.61,227,222,2107,4.29,3.64
2013,Angels,20,27,41,496,0,493.2,8.48,3.94,0.93,0.289,71.90%,41.00%,9.60%,4.12,3.9,4.03,243,226,2132,3.67,4.01
2004,Marlins,22,25,53,404,0,464.2,7.55,4.09,1.1,0.28,74.90%,41.40%,10.50%,4.13,4.42,4.48,224,213,1997,4.13,3.72
2009,Astros,26,24,39,497,0,534.1,7.75,3.91,1.11,0.307,75.50%,46.50%,11.60%,4.13,4.4,4.18,265,245,2344,3.88,3.47
2004,Orioles,26,26,27,452,0,544.2,7.96,4.63,0.81,0.292,71.70%,48.00%,8.90%,4.13,4.17,4.44,281,250,2409,4.12,4.44
2008,Rockies,20,27,36,485,0,535.2,7.53,3.51,0.84,0.304,71.40%,43.10%,8.70%,4.13,3.97,4.18,269,246,2320,3.84,4.17
2003,White Sox,21,16,36,361,0,418,8.07,3.98,0.95,0.277,71.50%,40.90%,10.00%,4.13,4.11,4.29,209,192,1799,3.84,4.09
2008,White Sox,23,18,34,463,0,459.1,7.88,3.31,0.92,0.301,72.00%,47.40%,10.30%,4.13,3.95,3.92,227,211,1982,3.6,4.11
1979,Tigers,24,25,37,221,0,463.2,5.98,3.96,1.26,0.261,75.00%, , ,4.13,4.6, ,230,213,1998, , 
2002,Marlins,25,22,36,461,0,524,6.9,3.86,1.03,0.277,74.40%,41.60%,10.30%,4.14,4.31,4.36,251,241,2263,4.04,3.85
2008,Mariners,25,31,36,469,0,530.1,7.14,4.48,0.78,0.292,72.40%,47.80%,8.30%,4.14,4.29,4.53,266,244,2341,4.24,4.24
1994,Blue Jays,11,15,26,221,0,310.2,6.87,4.72,0.96,0.276,72.90%, , ,4.14,4.69, ,160,143,1376, , 
1996,Blue Jays,16,23,35,303,0,438.2,6.59,4.19,1.05,0.28,71.90%, , ,4.14,4.7, ,230,202,1905, , 
1981,Indians,9,8,13,111,0,217,5.56,3.15,0.91,0.284,70.70%, , ,4.15,3.73, ,108,100,923, , 
2000,Angels,29,24,46,441,0,552,5.84,4.04,1.16,0.282,74.90%, , ,4.16,4.94, ,280,255,2414, , 
1994,Mets,14,18,35,238,0,300.2,6.26,3.56,1.02,0.294,73.10%, , ,4.16,4.47, ,153,139,1317, , 
2003,Cubs,20,19,36,420,0,426,8.81,4.18,1.04,0.284,72.60%,44.60%,12.60%,4.16,4.05,3.89,211,197,1837,3.63,3.78
1979,Dodgers,23,22,34,240,0,378,5.19,4.33,0.62,0.304,70.90%, , ,4.17,3.97, ,200,175,1692, , 
1991,Brewers,21,27,41,341,0,489,6.57,3.92,1.09,0.288,74.00%, , ,4.18,4.36, ,247,227,2125, , 
2008,Nationals,25,27,28,517,0,553.1,7.37,4.13,0.93,0.284,71.70%,42.00%,9.70%,4.18,4.32,4.39,282,257,2410,4.12,3.87
2001,Red Sox,27,30,48,424,0,546.2,7.15,3.41,0.94,0.301,71.80%, , ,4.18,4.18, ,284,254,2400, , 
2011,Orioles,23,21,32,478,0,565.2,7.33,3.28,1.21,0.29,74.20%,45.70%,12.20%,4.18,4.31,3.95,280,263,2428,3.62,3.61
1994,Yankees,19,14,31,241,0,290.1,6.7,3.6,1.02,0.283,71.90%, , ,4.18,4.39, ,148,135,1265, , 
1991,Rangers,33,24,41,386,0,531,6.25,3.73,1,0.28,71.60%, , ,4.19,4.24, ,273,247,2303, , 
1983,Angels,23,25,23,237,0,406,4.85,3.92,0.58,0.296,70.80%, , ,4.19,3.93, ,205,189,1770, , 
2013,Phillies,25,26,32,466,0,474.2,8.13,4.3,0.87,0.307,72.20%,43.30%,8.90%,4.19,4.06,4.29,246,221,2101,3.9,3.09
1992,Phillies,25,28,34,323,0,422.1,6.37,4.82,0.66,0.288,71.30%, , ,4.2,4.03, ,217,197,1875, , 
1985,Braves,27,28,29,351,0,557,4.8,3.93,0.86,0.282,68.50%, , ,4.2,4.23, ,311,260,2446, , 
2008,Cardinals,22,31,42,506,0,499,6.87,4.15,0.96,0.3,74.90%,44.40%,9.80%,4.2,4.49,4.54,246,233,2200,4.26,3.77
2001,Padres,20,19,46,422,0,458,8.37,4.07,1.14,0.295,73.00%, , ,4.21,4.36, ,241,214,2010, , 
1995,Expos,11,20,42,396,0,438.2,6.81,3.47,0.96,0.283,71.30%, , ,4.21,4.37, ,227,205,1919, , 
1985,Tigers,17,21,40,250,0,400,6.14,3.38,1.26,0.248,71.30%, , ,4.21,4.32, ,203,187,1690, , 
1986,Cubs,32,31,42,346,0,498,6.81,4.07,0.87,0.307,70.90%, , ,4.21,3.9, ,264,233,2171, , 
2000,Tigers,25,18,44,429,0,478.2,6.71,3.33,0.94,0.296,70.50%, , ,4.21,4.21, ,247,224,2041, , 
1977,Twins,34,21,25,242,0,474.1,4.69,3.4,1.01,0.284,73.30%, , ,4.21,4.38, ,239,222,2054, , 
1999,Giants,22,22,42,450,0,487,7.65,3.84,1.09,0.294,73.90%, , ,4.21,4.44, ,248,228,2143, , 
1995,Dodgers,23,18,37,355,0,371.1,7.08,3.56,0.97,0.295,71.50%, , ,4.22,4.22, ,191,174,1610, , 
2006,Yankees,23,23,43,489,0,510,7.29,3.79,1.06,0.284,72.90%,37.90%,8.90%,4.22,4.47,4.8,259,239,2223,4.26,4.2
1976,Cardinals,18,26,26,298,0,405,5.27,4.4,0.56,0.299,70.10%, , ,4.22,3.78, ,211,190,1785, , 
2003,Brewers,29,21,44,460,0,522,7.14,3.53,1.29,0.29,76.30%,45.70%,13.30%,4.22,4.63,4.33,260,245,2281,3.93,3.84
2000,Padres,29,27,46,443,0,481.1,7.16,4.04,1.07,0.265,70.30%, , ,4.23,4.57, ,255,226,2084, , 
2013,Rockies,20,28,35,503,0,555.2,7.68,3.14,0.86,0.318,71.70%,46.20%,10.10%,4.23,3.73,3.78,278,261,2408,3.54,3.37
2010,Mariners,15,29,38,358,0,419.1,6.57,3.73,1.01,0.282,71.50%,43.90%,10.00%,4.23,4.4,4.31,215,197,1805,4.09,2.55
1998,Cardinals,25,22,44,428,0,533.2,6.05,3.61,1,0.279,72.30%, , ,4.23,4.59, ,271,251,2320, , 
1986,Mariners,23,20,27,281,0,459,6.18,3.37,1.06,0.306,72.90%, , ,4.24,4.16, ,240,216,1997, , 
2005,Phillies,25,19,40,442,0,478,8.06,3.46,1.17,0.273,69.70%,43.00%,13.00%,4.24,4.23,3.92,253,225,2033,3.55,4.74
2005,Cubs,21,27,39,457,0,446,9.2,4.84,1.27,0.289,76.60%,45.50%,14.70%,4.24,4.54,4.03,223,210,1966,3.72,4
2007,Angels,22,16,43,396,0,458.2,8.06,3.51,1.02,0.283,70.30%,44.60%,10.30%,4.24,4.2,4.11,233,216,1946,3.75,4.24
1993,Cardinals,26,26,54,422,0,479.2,5.63,2.95,0.99,0.291,70.30%, , ,4.24,4.24, ,252,226,2066, , 
1987,Cubs,17,24,48,327,0,469,7.06,4.03,0.84,0.311,71.80%, , ,4.24,3.92, ,244,221,2063, , 
2007,Brewers,23,32,49,492,0,511.1,8.4,3.52,0.88,0.303,67.80%,43.60%,8.60%,4.24,3.91,4.07,276,241,2204,3.69,4.28
2010,Red Sox,19,23,44,443,0,445.1,7.56,3.98,1.27,0.28,74.20%,40.20%,11.20%,4.24,4.62,4.33,227,210,1926,3.93,4.1
1982,Athletics,20,20,22,239,0,436.2,5.71,4.82,0.8,0.282,71.20%, , ,4.25,4.25, ,232,206,1947, , 
1998,Tigers,20,19,32,446,0,493.2,6.73,4.59,1.02,0.283,73.20%, , ,4.25,4.77, ,255,233,2146, , 
1984,Athletics,24,21,44,282,0,485,5.21,3.71,0.95,0.293,72.60%, , ,4.25,4.24, ,250,229,2133, , 
